"Yellow","Blue","Indigo","Sample","Site"
0.998924409109702,0.00107558989029793,9.9999999983e-10,"62.bam","Hospital Key"
0.999999998,9.9999999956e-10,9.9999999956e-10,"636.bam","Elbow Shallow"
9.9999999931e-10,9.9999999931e-10,0.999999998,"637.bam","Elbow Shallow"
0.371491883458271,0.628508115541728,9.999999997e-10,"638.bam","Elbow Shallow"
0.999999998,9.9999999953e-10,9.9999999953e-10,"639.bam","Elbow Shallow"
0.999999998,9.9999999963e-10,9.9999999963e-10,"63.bam","Hospital Key"
0.999988875122886,1.1123877113661e-05,9.9999999955e-10,"640.bam","Carysfort Shallow"
9.9999999978e-10,9.9999999978e-10,0.999999998,"641.bam","Carysfort Shallow"
9.9999999952e-10,0.999999998,9.9999999952e-10,"643.bam","Carysfort Shallow"
0.995799810251491,0.00420018874850948,9.9999999955e-10,"644.bam","Carysfort Shallow"
0.999999998,9.9999999977e-10,9.9999999977e-10,"64.bam","Hospital Key"
9.9999999969e-10,9.9999999969e-10,0.999999998,"655.bam","Carysfort Deep"
9.9999999951e-10,9.9999999951e-10,0.999999998,"656.bam","Carysfort Deep"
0.0270004304569405,9.9999999998e-10,0.97299956854306,"657.bam","Carysfort Deep"
9.9999999998e-10,0.0139731459748749,0.986026853025125,"658.bam","Carysfort Deep"
9.9999999984e-10,9.9999999984e-10,0.999999998,"659.bam","Carysfort Deep"
9.9999999967e-10,9.9999999967e-10,0.999999998,"661.bam","Turtle Shell Grounds"
9.9999999961e-10,9.9999999961e-10,0.999999998,"662.bam","Turtle Shell Grounds"
0.999999998,9.9999999953e-10,9.9999999953e-10,"664.bam","Turtle Shell Grounds"
9.999999992e-10,9.999999992e-10,0.999999998,"665.bam","Turtle Shell Grounds"
0.986878656451144,0.0131213425488557,9.9999999962e-10,"66.bam","Hospital Key"
0.0464691686087886,0.953530830391211,9.999999996e-10,"671.bam","Turtle Harbor"
0.981196382857163,0.0188036161428366,9.9999999953e-10,"672.bam","Turtle Harbor"
9.9999999953e-10,9.9999999953e-10,0.999999998,"673.bam","Turtle Harbor"
0.00236393310004681,0.876614444403545,0.121021622496408,"674.bam","Turtle Harbor"
0.000123398827650977,0.999876600172349,9.9999999958e-10,"675.bam","Turtle Harbor"
0.999999998,9.999999995e-10,9.999999995e-10,"67.bam","DT.2"
